Datetime,Electric,Water,Gas
2011-08-04,2691.362,16.822,1153.82
2011-08-05,2717.623,22.791,1614.367
2011-08-06,1736.121,9.81,373.026
2011-08-07,1673.853,10.571,78.43199999999999
2011-08-08,2607.31,12.944,876.256
2011-08-09,2634.877,12.012,1381.47
2011-08-10,2662.291,17.303,1717.054
2011-08-11,2643.383,22.697,1661.318
2011-08-12,2554.787,22.06,1628.181
2011-08-13,1657.949,1.708,1616.661
2011-08-14,1580.32,0.677,1415.952
2011-08-15,2737.188,16.576,1382.497
2011-08-16,2748.09,19.869,1382.3909999999998
2011-08-17,2599.099,16.248,1371.402
2011-08-18,2783.168,9.02,1705.92
2011-08-19,2673.868,17.218,1572.189
2011-08-20,1733.535,0.75,1583.32
2011-08-21,1701.426,0.639,1382.417
2011-08-22,2786.414,21.016,1371.358
2011-08-23,2849.328,23.42,1443.456
2011-08-24,2876.307,21.9,1455.499
2011-08-25,2764.783,13.562,1382.135
2011-08-26,2752.117,11.578,1404.804
2011-08-27,1767.193,0.549,1471.7069999999999
2011-08-28,1631.592,0.601,1737.546
2011-08-29,1959.845,0.698,1640.727
2011-08-30,2630.791,9.032,1760.9089999999999
2011-08-31,2645.108,10.881,1740.014
2011-09-01,2718.506,20.338,1705.029
2011-09-02,2722.136,24.321,1671.47
2011-09-03,1737.914,0.711,1686.243
2011-09-04,1742.196,0.596,1448.473
2011-09-05,2935.858,13.957,1472.742
2011-09-06,2990.628,12.751,1459.51
2011-09-07,2920.535,12.665,1516.304
2011-09-08,2947.353,17.282,1451.813
2011-09-09,2802.113,23.715,1469.27
2011-09-10,1852.612,2.685,1600.202
2011-09-11,1791.598,10.172,2146.017
2011-09-12,3029.391,21.684,1758.754
2011-09-13,3056.836,12.905,1675.287
2011-09-14,2966.782,12.778,1683.483
2011-09-15,2950.446,14.778,1662.946
2011-09-16,2790.719,17.138,1637.357
2011-09-17,2077.851,2.775,1752.18
2011-09-18,2039.877,2.492,1559.179
2011-09-19,2884.159,13.193999999999999,1551.59
2011-09-20,2798.815,12.639,1547.921
2011-09-21,2845.58,12.38,1449.402
2011-09-22,2844.277,10.477,1397.65
2011-09-23,2791.623,11.826,1478.853
2011-09-24,2157.676,6.064,1572.062
2011-09-25,1942.847,5.2620000000000005,1717.011
2011-09-26,3203.814,27.157,1761.619
2011-09-27,3235.548,27.001,1692.43
2011-09-28,3268.224,32.987,1630.075
2011-09-29,3210.177,38.159,1638.958
2011-09-30,3066.108,33.853,1605.506
2011-10-01,1926.47,10.804,1627.807
2011-10-02,1901.554,11.539,718.371
2011-10-03,3608.717,42.683,611.808
2011-10-04,3947.826,28.093,611.808
2011-10-05,3866.012,25.941,611.808
2011-10-06,3873.824,22.934,611.808
2011-10-07,3749.539,16.73,611.808
2011-10-08,2816.581,7.875,611.808
2011-10-09,2293.361,7.8020000000000005,611.808
2011-10-10,3770.146,33.098,1451.344
2011-10-11,3936.341,31.229,1981.759
2011-10-12,3622.835,22.243,1970.906
2011-10-13,4022.363,26.47,2071.154
2011-10-14,3661.925,21.015,2140.633
2011-10-15,2101.621,1.193,2246.065
2011-10-16,2139.607,1.59,1948.436
2011-10-17,4041.1400000000003,22.614,2126.754
2011-10-18,4113.058,23.496,3149.908
2011-10-19,4039.959,18.57,4208.947
2011-10-20,4227.88,22.748,4414.849
2011-10-21,3918.026,18.556,3093.985
2011-10-22,2947.745,6.423,2614.547
2011-10-23,2152.117,0.967,3279.781
2011-10-24,3958.543,23.512999999999998,3593.41
2011-10-25,4137.157,23.908,3405.603
2011-10-26,3895.67,18.365,3813.995
2011-10-27,4133.773,23.4,3478.611
2011-10-28,3808.949,19.101,3561.507
2011-10-29,2573.091,4.764,3123.315
2011-10-30,2130.505,4.337,2567.223
2011-10-31,4133.928,24.373,2231.484
2011-11-01,4222.882,24.046,2575.413
2011-11-02,4033.705,17.739,2880.936
2011-11-03,4233.265,29.296,2285.321
2011-11-04,3861.268,20.228,2631.136
2011-11-05,2751.086,7.85,2846.996
2011-11-06,2305.051,2.82,3578.865
2011-11-07,4092.754,21.29,4237.108
2011-11-08,4180.928,23.812,4059.023
2011-11-09,3923.674,18.834,3463.509
