Datetime,Electric,Water,Gas,temp,dew_point,pressure,humidity,wind_speed
2018-06-22,2084.0,3.569,33.453,14.849166666666667,7.4875,1030.375,64.29166666666667,3.203333333333333
2018-06-23,1586.0,1.215,22.302,14.896666666666667,7.646249999999999,1028.2083333333333,63.875,3.3791666666666664
2018-06-24,1583.5,0.785,33.453,16.988333333333333,9.144583333333333,1025.375,62.791666666666664,1.3220833333333333
2018-06-25,2143.0,4.054,22.302,19.899166666666666,9.93125,1025.8333333333333,56.25,2.160416666666667
2018-06-26,2183.0,6.01,11.151,19.7725,9.839583333333334,1026.6666666666667,57.041666666666664,2.7075
2018-06-27,2253.75,6.655,22.302,17.295833333333334,11.118333333333332,1026.7083333333333,69.66666666666667,3.7116666666666664
2018-06-28,2152.25,6.065,22.301,17.978333333333335,13.055416666666666,1025.9583333333333,75.5,3.7312499999999997
2018-06-29,2068.5,5.556,22.302,17.8225,11.444166666666668,1023.0833333333334,69.95833333333333,4.39
2018-06-30,1649.0,0.685,22.302,18.815416666666668,11.007916666666667,1017.5,63.958333333333336,4.9904166666666665
2018-07-01,1577.0,0.919,22.301,19.805416666666666,11.773333333333333,1014.9583333333334,63.75,4.00375
2018-07-02,2243.5,5.082,11.151,19.51,9.12125,1017.7083333333334,54.75,5.089166666666666
2018-07-03,2207.75,4.451,22.302,17.46708333333333,9.344166666666666,1019.2083333333334,61.625,5.097083333333333
2018-07-04,2179.25,4.06,22.302,17.895833333333332,10.381666666666666,1015.5833333333334,65.16666666666667,1.7358333333333331
2018-07-05,2261.5,4.3,22.302,21.916666666666668,11.690833333333332,1015.4583333333334,55.333333333333336,2.827083333333333
2018-07-06,2295.5,5.875,22.302,21.06083333333333,13.355833333333335,1020.8333333333334,63.583333333333336,2.4316666666666666
2018-07-07,2139.0,5.046,22.302,21.33791666666667,13.3375,1023.8333333333334,62.875,2.6654166666666668
2018-07-08,1865.75,0.795,11.151,22.21875,13.503333333333332,1025.8333333333333,61.083333333333336,2.6670833333333337
2018-07-09,2310.25,4.655,22.302,19.42125,14.047083333333333,1026.125,71.91666666666667,3.3533333333333335
2018-07-10,2323.75,3.819,22.302,17.5675,10.654166666666667,1024.5,65.5,3.73625
2018-07-11,2337.25,5.497,22.302,17.147916666666667,11.725416666666668,1022.1666666666666,72.20833333333333,2.7125
2018-07-12,2367.75,5.102,22.302,17.03291666666667,11.322083333333333,1022.1666666666666,71.41666666666667,2.5054166666666666
